,canopy_moisture,stop,run_max_mem_rss_bytes,start,sim_time,surface_moisture,threads,wind_direction,wind_speed,run_uuid,area,runtime
32,0.9,2024-05-16T11:32:37.092308-07:00,4403656.0,2024-05-16 09:39:45.056024-07:00,8998.0,0.1,1.0,90.0,2.235,c973b429-9663-4262-8f9f-9de9492d001e,828144.0,6772.0
33,0.9,2024-05-13T11:08:44.452418-07:00,3194800.0,2024-05-13 09:54:41.043218-07:00,4924.0,0.1,1.0,195.0,2.235,c9fab112-fce5-4c42-a281-4603647ff655,823768.0,4443.0
34,0.9,2024-05-16T09:35:50.618607-07:00,2867740.0,2024-05-16 08:57:01.652324-07:00,4591.0,0.1,1.0,255.0,6.705,ca44b944-01be-4bef-a25b-55a3ea58e868,986740.0,2329.0
35,0.9,2024-05-15T23:55:55.097724-07:00,4403588.0,2024-05-15 22:34:49.812836-07:00,8998.0,0.1,1.0,90.0,2.235,d17059eb-c99d-496b-a229-bad0221f0436,828144.0,4866.0
36,0.9,2024-05-01T15:00:22.111421-07:00,4403652.0,2024-05-01 13:10:04.754139-07:00,8998.0,0.1,1.0,75.0,2.235,d2f63250-2f8e-455a-b197-3c9a1cba692b,828144.0,6618.0
37,0.7,2024-05-13T17:03:53.030516-07:00,3190128.0,2024-05-13 15:50:33.832351-07:00,5579.0,0.05,1.0,210.0,8.941,d3f62f61-85bb-43bc-96f4-8a352693eb44,823768.0,4400.0
38,0.9,2024-05-13T13:30:58.294987-07:00,3189968.0,2024-05-13 11:47:54.312262-07:00,6883.0,0.1,1.0,220.0,6.705,d5bc882a-668c-44bd-b119-230601a87c2d,823768.0,6184.0
39,0.8,2024-05-13T17:36:13.448115-07:00,3189788.0,2024-05-13 15:28:50.538391-07:00,5579.0,0.1,1.0,180.0,8.941,d6be82e4-c1a1-446e-943e-d8c838c26f18,823768.0,7643.0
40,0.9,2024-05-01T14:42:27.804975-07:00,4403792.0,2024-05-01 13:11:08.292963-07:00,8998.0,0.1,1.0,105.0,2.235,d79774f4-9060-42ff-91b1-5b0656e3c7f3,828144.0,5479.0
41,0.9,2024-05-15T21:02:31.150363-07:00,4403680.0,2024-05-15 18:25:59.307920-07:00,8998.0,0.1,1.0,105.0,2.235,d7dc0c69-c248-4733-b671-54e6ae80f159,828144.0,9392.0
42,1.0,2024-05-16T09:51:22.191575-07:00,2866076.0,2024-05-16 09:00:18.533409-07:00,4591.0,0.15,1.0,255.0,4.47,d80c2bd4-99f5-46ce-91af-672797af8139,986740.0,3064.0
43,1.0,2024-05-16T09:44:34.389338-07:00,2867652.0,2024-05-16 09:05:49.451855-07:00,4591.0,0.2,1.0,285.0,2.235,d9022be6-55cc-424d-84a8-42d6b3dd74dc,986740.0,2325.0
44,0.9,2024-05-02T15:06:06.892357-07:00,4403584.0,2024-05-02 12:53:32.902347-07:00,8998.0,0.1,1.0,90.0,2.235,d9a70c0e-f492-4332-8399-9a18587f1b1a,828144.0,7954.0
45,0.9,2024-05-15T13:25:57.826401-07:00,4403784.0,2024-05-15 09:57:12.783618-07:00,8998.0,0.1,1.0,75.0,2.235,daf2659a-a649-4a94-ba95-e9e684405049,828144.0,12525.0
46,1.0,2024-05-16T09:29:19.106477-07:00,2865816.0,2024-05-16 08:54:12.887055-07:00,4591.0,0.15,1.0,255.0,2.235,dbf823ef-c584-4453-a3e0-3034594f8876,986740.0,2107.0
47,0.9,2024-05-16T09:42:01.528573-07:00,2865988.0,2024-05-16 09:04:24.736277-07:00,4591.0,0.1,1.0,285.0,2.235,dc6bcf35-681d-45c5-86de-d2d1059d5f5b,986740.0,2257.0
48,0.7,2024-05-13T16:32:57.788366-07:00,3190156.0,2024-05-13 15:28:07.082132-07:00,5579.0,0.1,1.0,210.0,6.705,df9b21e3-da53-4e97-8407-51ebc0f4b208,823768.0,3890.0
49,0.9,2024-05-16T09:29:00.518389-07:00,2865888.0,2024-05-16 08:48:41.139906-07:00,4591.0,0.25,1.0,270.0,6.705,e28abf3c-da67-442f-9328-06bdefa31dd3,986740.0,2419.0
50,0.9,2024-05-01T13:05:49.718280-07:00,4403652.0,2024-05-01 11:17:30.414247-07:00,8998.0,0.1,1.0,105.0,2.235,e354c16a-2d61-46a6-9157-235083a6f51d,828144.0,6499.0
51,0.9,2024-05-15T16:26:17.319257-07:00,4403612.0,2024-05-15 14:04:09.777052-07:00,8998.0,0.1,1.0,75.0,2.235,e375e119-3b08-4703-920a-365ee9550c54,828144.0,8528.0
