,canopy_moisture,run_max_mem_rss_bytes,sim_time,surface_moisture,threads,wind_direction,wind_speed,run_uuid,area,runtime,cpu_request,mem_request,cpu_usage_total,mem_usage_total,transmitted_packets_total,received_packets_total,transmitted_bandwidth_total,received_bandwidth_total
54,0.3,2513784,16486,0.1,1,90.0,3.0,c0b7eff9-0949-4b0e-b8ae-1465bc8bf7c0,1053216.0,14360.0,-1.0,-1.0,28294.39395733381,5990789119.0,42318.366019255314,107299.97479603387,133753778.2911812,315997393.75825953
55,0.3,2571568,16486,0.1,1,90.0,5.0,81fc3247-b962-4699-b4f4-5b7ae21588e9,1053216.0,8626.0,1.0,17179869183.0,17259.956113039054,6135394303.0,71937.54190905923,117300.73073403019,124641947.05270419,544625481.4057269
56,0.3,2538952,16486,0.1,1,90.0,3.0,e9845616-7809-4c17-a45c-3f3de2defef7,1053216.0,11130.0,1.0,17179869183.0,19791.553196992092,6134370303.0,24579.675915145213,26450.61499354249,130231990.40068738,11921569.512019416
57,0.3,2513816,16486,0.1,1,90.0,5.0,51d231fd-5362-4c73-8e3e-f468dc676293,1053216.0,9871.0,0.0,0.0,19759.116876480464,6001213439.0,39991.45432672764,59910.420074796755,131346001.83189757,312810750.4129362
58,0.3,2513196,16486,0.1,1,90.0,3.0,8c6236a6-a918-45d3-8ccc-e622263f9458,1053216.0,10256.0,0.0,0.0,20171.342750166266,6001213439.0,40815.111389776255,60763.71927191149,133862771.35415357,312982131.4045291
59,0.3,2538556,16486,0.1,1,90.0,3.0,5b6d349f-e052-427b-9cd2-5f3aa8f54162,1053216.0,13185.0,1.0,17179869183.0,26452.77233577408,6011461631.0,27969.386900489902,39928.83510937061,127996351.27929291,165303731.74559635
60,0.3,2538936,16486,0.1,1,90.0,5.0,add92bd0-2d61-4ab0-bb10-22f7bc82b212,1053216.0,13920.0,0.0,0.0,27200.022793983564,6015029247.0,35555.59163557824,57760.430048596114,136883566.6867052,563206782.5203564
61,0.3,2558900,16486,0.1,1,90.0,5.0,05944037-0f99-4c79-b1b6-ed172d71c6ba,1053216.0,8574.0,0.0,0.0,34383.55843280904,11907371007.0,19039.296842105265,19464.487017543863,130373581.23591551,11668713.602105264
62,0.3,2558856,16486,0.1,1,90.0,3.0,87c83bcb-0591-4bf6-9df1-6a5b88580d55,1053216.0,8710.0,0.0,0.0,34692.786476824185,11907371007.0,19164.38913654424,19585.715097626824,132581110.90261427,11719954.839689903
63,0.3,2520616,16486,0.1,1,90.0,3.0,959faf26-c855-4ee4-9070-bda9bb12212f,1053216.0,12247.0,-1.0,-1.0,24530.801855094585,5984735231.0,28488.927669533172,60441.37418018018,123321592.84781203,160570150.31996033
64,0.3,2512748,16486,0.1,1,90.0,5.0,d0acc7ea-4a55-4c7e-911f-2363106b5a88,1053216.0,13785.0,-1.0,-1.0,26085.135253769375,5984735231.0,30446.482538904856,62463.25415335835,130640057.64185572,160707763.00441355
65,0.3,9261788,23361,0.1,1,90.0,5.0,d5779c53-c249-413d-a05d-5fa9d3bbcbd2,2543220.0,42090.0,-1.0,-1.0,168558.62584809196,41900285951.0,86890.33907952924,234049.40907532096,871183689.9807127,1212821722.9086928
66,0.3,9258612,23361,0.1,1,90.0,3.0,c7230079-10ef-40c2-a607-6814800f52bd,2543220.0,45527.0,-1.0,-1.0,175425.33504702427,41900285951.0,88172.29729851367,235388.5503119305,894566070.0883392,1212943938.6599636
67,0.3,2538036,16486,0.1,1,90.0,5.0,2f769ddc-258e-44a4-a3ea-223ff47733b1,1053216.0,9014.0,0.0,0.0,18059.369931124063,6027608063.0,49824.17572888889,98704.41473244445,134193303.02343634,772584923.2044014
68,0.3,2537760,16486,0.1,1,90.0,3.0,72523718-8b5e-4db9-b78e-07f88f302a07,1053216.0,9998.0,0.0,0.0,19053.035428116527,6027608063.0,51476.440265265264,100797.98132132132,141567685.48457956,772928770.5260742
69,0.3,2576484,16486,0.1,1,90.0,3.0,63ff479a-2773-44b6-b1c2-5ef9d6617713,1053216.0,11567.0,0.0,0.0,23111.470059104453,6130479103.0,45486.92412987013,91247.96365030303,126632134.3405729,327082338.7894736
70,0.3,2576788,16486,0.1,1,90.0,5.0,7c781275-7258-4eca-9f25-d174cf946cf9,1053216.0,12848.0,0.0,0.0,24410.174373877708,6130368511.0,42566.50138853313,70089.80353644938,131531509.38918936,167161182.78318727
71,0.3,2559016,16486,0.1,1,90.0,5.0,9daa6c75-3689-446b-97e8-459e4d5974d0,1053216.0,8295.0,1.0,17179869183.0,16602.623759011207,6054109183.0,31527.038181818178,43725.21272727272,130710911.79272726,60041561.76363636
72,0.3,2559124,16486,0.1,1,90.0,3.0,91dcafc0-888a-4827-a387-54d730a1a603,1053216.0,8529.0,1.0,17179869183.0,16854.137993322256,6054109183.0,32276.069457234425,44501.766171899595,133235023.88444859,60346388.66008338
73,0.3,2512132,16486,0.1,1,90.0,5.0,2c3885a5-f64a-47cf-ade4-1e8d387b659a,1053216.0,8266.0,-1.0,-1.0,16562.952051151755,6000971775.0,30883.42059345455,64230.54462012122,122076036.21278594,313059688.99337506
74,0.3,2513256,16486,0.1,1,90.0,3.0,a6362d26-94f7-4348-af5b-7e3eaa3b847d,1053216.0,10193.0,-1.0,-1.0,18522.99487810226,5991534591.0,29986.752748789673,55149.25919311458,132268877.51032634,160493673.86209613
75,0.3,2570732,16486,0.1,1,90.0,5.0,5c238715-bb08-468f-9a51-e6b1c7b96ad0,1053216.0,9588.0,1.0,17179869183.0,19885.566051582293,11835994111.0,27282.106809597604,50048.49858751931,126561831.35821143,407204424.4494429
76,0.3,2534308,16486,0.1,1,90.0,3.0,d659ec02-6007-4d20-b2f7-e136718f9b62,1053216.0,12369.0,1.0,17179869183.0,22693.436358965708,11836489727.0,35874.26274097862,90263.7905652608,144166553.00278276,569542678.9626939
77,0.3,2515892,16486,0.1,1,90.0,3.0,46ceb5c3-9bc4-4938-b107-b230aaa14320,1053216.0,8661.0,-1.0,-1.0,17353.37783666351,6095785983.0,22488.548562821896,26124.530595984343,113584961.04954234,11526619.389724558
