,Unnamed: 0,canopy_moisture,run_max_mem_rss_bytes,sim_time,surface_moisture,threads,wind_direction,wind_speed,run_uuid,area,runtime,cpu_request,mem_request,cpu_usage_total,mem_usage_total,transmitted_packets_total,received_packets_total,transmitted_bandwidth_total,received_bandwidth_total
21,21,0.9,4373016,8998,0.1,1,90.0,2.235,48316e80-2a60-4278-b471-32bcdb8b3420,828144.0,4866.0,0.0,0.0,14461.236512655145,13964070912.0,53963.51812950116,183411.6264139537,82830067.37412567,957078318.2109834
22,22,0.9,4373032,8998,0.1,1,75.0,2.235,6d7aefda-4473-45ce-bc4e-d50d8e89f2f5,828144.0,4738.0,0.0,0.0,18809.35368712074,18629775360.0,30339.65588085063,58867.66666273817,2812171.1175277717,477983201.9530054
23,23,0.9,4376624,8998,0.1,1,90.0,2.235,d3ebf130-c193-408d-97e0-1b664939072f,828144.0,6968.0,0.0,0.0,25504.833401666892,18631589888.0,49947.57806124794,91232.30920997131,25336642.327635854,635701296.3431544
24,24,0.9,4372984,8998,0.1,1,105.0,2.235,caf37dcc-4668-4db5-a06b-402955970c99,828144.0,8088.0,3.0,25769803776.0,27776.05787112638,18630504448.0,14709.65848323853,34105.88036327178,22833055.34113007,318172030.7228277
25,25,0.9,4373148,8998,0.1,1,90.0,2.235,25478a77-804a-485d-aeff-88b364a3ac21,828144.0,5531.0,0.0,0.0,15894.0336550186,13948805120.0,14189.488198498406,35327.724172258655,53482881.44035181,133721892.38166083
26,26,0.9,4373196,8998,0.1,1,105.0,2.235,0c435f93-2b98-4c95-8ea4-8b046a525e95,828144.0,4805.0,0.0,0.0,14393.549979458347,13948719104.0,16005.348337526204,101022.48773332287,3653822.663126965,1233808689.0320103
27,27,0.9,4373208,8998,0.1,1,75.0,2.235,79ee43da-f829-4b65-aab0-6c98a54711ea,828144.0,5528.0,0.0,0.0,15867.881056419035,13948956672.0,32668.54543473702,50999.360102313294,55968014.087347195,1234845032.7153215
28,28,0.9,4373116,8998,0.1,1,105.0,2.235,9b86dfbc-dbe2-4829-a5f8-58bbf03ea842,828144.0,4841.0,0.0,0.0,14507.998152485272,13962280960.0,15087.560127273298,62165.95273711663,1818281.0395531673,410690092.9981473
29,29,0.9,4376048,8998,0.1,1,75.0,2.235,b13b3a96-1c1a-492e-80b2-5691e7e9cdff,828144.0,7022.0,0.0,0.0,18905.51213833245,13964091392.0,19970.432273618397,67588.50844857734,79850157.37257724,412209131.3046972
30,30,0.9,4373060,8998,0.1,1,90.0,2.235,cd33415f-3d73-4800-975e-62f82be2226a,828144.0,7643.0,0.0,0.0,19508.0431287802,13964255232.0,20282.64369397328,67870.23076587761,79887339.33104745,412517569.2670021
31,31,0.9,4372972,8998,0.1,1,105.0,2.235,d66fb9a9-322c-4cde-8b71-60cc4e58b0f2,828144.0,6052.0,0.0,0.0,18175.69601705336,13979906048.0,20257.550157966412,38701.85791063162,2602545.709404952,633599376.7594868
32,32,0.9,4373032,8998,0.1,1,75.0,2.235,855bb7ca-0b05-416e-9084-15344e76d90f,828144.0,6160.0,0.0,0.0,18343.886400745985,13980332032.0,20391.17337606575,38820.216664520536,2618700.8339219685,633884011.4978676
33,33,0.9,4373108,8998,0.1,1,90.0,2.235,8e5e68a9-7ff5-4e99-81c6-b8165549db9b,828144.0,7262.0,3.0,25769803776.0,19485.768257327407,13980680192.0,12699.995620989188,12260.052935297595,48196297.36735453,3765684.4807960354
34,34,0.9,4373184,8998,0.1,1,75.0,2.235,261337e2-4c80-4820-8999-fb596aab5d07,828144.0,5081.0,0.0,0.0,15234.737068079616,13960617984.0,19219.747371325255,78908.86581561003,2137303.7166139293,633182865.5879439
35,35,0.9,4376092,8998,0.1,1,105.0,2.235,b80608ff-a4f3-4b79-a887-23f72b1fd7bc,828144.0,7078.0,0.0,0.0,19255.405338611967,13971718144.0,24331.503720913643,85491.09832861077,80536691.29822047,636215546.232899
36,36,0.9,4376368,8998,0.1,1,90.0,2.235,ef258f04-698c-4980-a223-af4d86d175f8,828144.0,7202.0,0.0,0.0,19377.81775322676,13971718144.0,24369.50631180639,85488.0191804909,80531391.37871365,635939959.6037312
37,37,0.9,4373100,8998,0.1,1,90.0,2.235,90ed3083-ca1b-4d74-bb9e-cb94287dd403,828144.0,5421.0,0.0,0.0,21683.054181833293,18590646271.0,23508.17094972067,24355.139106145252,2083798.0865921788,215580048.56480446
38,38,0.9,4376676,8998,0.1,1,75.0,2.235,e7ed9d27-6976-4042-a86c-45af07371ad5,828144.0,7219.0,0.0,0.0,25322.043020673067,18607611903.0,69280.07050534147,134121.85581516268,6590575.194374391,1420391130.1514971
39,39,0.9,4372948,8998,0.1,1,105.0,2.235,e7a0b8c5-72be-4b48-9f1c-49718e9e3443,828144.0,8813.0,0.0,0.0,26928.574832274397,18602987519.0,49961.0691077808,78590.71754582762,4275163.275606867,532395912.3092778
40,40,0.9,4373000,8998,0.1,1,75.0,2.235,d2b0c678-2cf0-4c19-83da-8399528951f3,828144.0,4117.0,0.0,0.0,16478.598572108283,18640523263.0,23327.235266666667,53951.298270098036,3131057.124739706,1104357964.3524053
41,41,0.9,4373108,8998,0.1,1,90.0,2.235,94a33056-ac49-49fc-baf3-a66dc55d6208,828144.0,6129.0,0.0,0.0,22528.14082786897,18643005439.0,25163.128795584482,55562.39977019046,3365096.451075255,1103114375.2320445
42,42,0.9,4373132,8998,0.1,1,105.0,2.235,9c4b29c0-29ae-4ed4-a0a5-ac72f654b599,828144.0,8074.0,0.0,0.0,24457.07916056035,18643730431.0,9916.39978074709,8507.440459223153,1256560.1842508833,3119449.784215484
43,43,0.9,4373200,8998,0.1,1,75.0,2.235,f5571d3e-adf5-40a5-833e-da9340effbe9,828144.0,8928.0,-1.0,-1.0,33389.33557833168,23224954879.0,26405.164505508732,81817.95129578147,2649530.9365287963,520401912.0976311
44,44,0.9,4373076,8998,0.1,1,105.0,2.235,b63d0ad4-5ad2-4c0e-80ac-ad96934256be,828144.0,6121.0,-1.0,-1.0,30554.126069138438,23223865343.0,25366.781903946227,81017.68068980407,2520362.1205626484,520675203.3572551
45,45,0.9,4373100,8998,0.1,1,90.0,2.235,3fecd44f-cf76-4079-9650-0fb3aef383d4,828144.0,6070.0,-1.0,-1.0,30387.936838155463,23223865343.0,25289.857580921853,24330.93632134929,2512142.027399167,203261857.41103268
46,46,0.9,4373120,8998,0.1,1,75.0,2.235,1cd7ade5-a911-4cbd-872f-12ea73336a0a,828144.0,6186.0,-1.0,-1.0,24773.73443832645,18594394111.0,46519.26834402341,99704.61284709512,3996851.697912492,564361022.7927217
47,47,0.9,4373072,8998,0.1,1,105.0,2.235,033803a4-7cd8-4795-a809-944f8787aeaa,828144.0,7088.0,-1.0,-1.0,26318.176316661993,18595418111.0,47080.330025564086,100153.43521662889,4086063.8538277294,563283715.1389642
48,48,0.9,4373132,8998,0.1,1,90.0,2.235,1d0c64a6-2989-4191-abc9-eab71f40b918,828144.0,6813.0,-1.0,-1.0,26026.35841127469,18595287039.0,47075.14606495403,100032.44517140649,4069235.6223086175,565075934.6018816
49,49,0.9,4374868,8998,0.1,1,105.0,2.235,56c79623-1f1c-4e34-b1de-abc90a24e013,828144.0,5439.0,-1.0,-1.0,16322.033029801718,13944741887.0,11097.581666666667,32115.28777777778,1275658.0311111112,293897104.30833334
50,50,0.9,4376332,8998,0.1,1,75.0,2.235,113deffd-95c7-4c37-8ea7-9190fb1dba7f,828144.0,7278.0,-1.0,-1.0,20000.742637751384,13953949695.0,20139.515691213903,55385.572252654674,2536378.1774632847,632654305.1764882
51,51,0.9,4373200,8998,0.1,1,90.0,2.235,2eaedc2d-29b7-4c41-8395-bacf03a51d1c,828144.0,8121.0,-1.0,-1.0,20866.475144970693,13953097727.0,13108.58620141079,33770.79910350699,1526856.6442605427,293176600.4611739
52,52,0.9,4376008,8998,0.1,1,105.0,2.235,097bc16e-deb7-4587-b138-d2b2efa5358d,828144.0,6847.0,-1.0,-1.0,18668.18354440196,13981573119.0,23903.77903476724,47456.44536230583,2391721.9004175,176161562.05398214
