,start,end,runtime,model,num_questions,question_method,pdf_pages,pdf_load_time,Average GPU Utilization,Max GPU Utilization,Min GPU Utilization,Standard Deviation GPU Utilization,Average Memory Copy Utilization,Max Memory Copy Utilization,Min Memory Copy Utilization,Standard Deviation Memory Copy Utilization,Average Power,Max Power,Min Power,Standard Deviation Power,Average Temperature,Max Temperature,Min Temperature,Standard Deviation Temperature,Average Fan Speed,Max Fan Speed,Min Fan Speed,Standard Deviation Fan Speed
0,2024-07-29 22:37:00,2024-07-29 22:37:00,6,eci-io/climategpt-7b,1,shifted,48,14,21.803754266211605,100.0,0.0,37.83840041675127,6.950511945392491,100.0,0.0,18.049299829413105,72.78765083333334,460.08,0.436,85.07580604653498,40.005833333333335,90.0,10.0,16.42444117351051,9169.9482421875,26100.0,0.0,4993.7517434304655
1,2024-07-29 22:37:00,2024-07-29 22:37:00,9,eci-io/climategpt-7b,1,shifted,126,43,21.54692832764505,100.0,0.0,37.78943434838112,6.950511945392491,100.0,0.0,18.049299829413105,72.78765083333334,460.08,0.436,85.07580604653498,40.005833333333335,90.0,10.0,16.42444117351051,9169.9482421875,26100.0,0.0,4993.7517434304655
2,2024-07-29 22:37:00,2024-07-29 22:37:00,5,ECarbenia/grimoiresigils,1,shifted,48,14,21.54568744662681,100.0,0.0,37.71612711038211,6.900170648464163,100.0,0.0,17.97163815400264,72.78765083333334,460.08,0.436,85.07580604653498,40.005833333333335,90.0,10.0,16.42444117351051,9169.9482421875,26100.0,0.0,4993.7517434304655
3,2024-07-29 22:37:00,2024-07-29 22:37:00,6,ECarbenia/grimoiresigils,1,shifted,126,43,21.46587030716724,100.0,0.0,37.62752452512959,6.727815699658703,100.0,0.0,17.82882296855931,72.78765083333334,460.08,0.436,85.07580604653498,40.005833333333335,90.0,10.0,16.42444117351051,9169.9482421875,26100.0,0.0,4993.7517434304655
4,2024-07-29 22:37:00,2024-07-29 22:37:00,6,text-embedding-ada-002,1,shifted,48,14,21.27303754266212,100.0,0.0,37.59683912966241,6.727815699658703,100.0,0.0,17.82882296855931,72.78765083333334,460.08,0.436,85.07580604653498,40.005833333333335,90.0,10.0,16.42444117351051,9169.9482421875,26100.0,0.0,4993.7517434304655
5,2024-07-29 22:37:00,2024-07-29 22:37:00,3,text-embedding-ada-002,1,shifted,126,43,21.06058020477816,100.0,0.0,37.40685784047364,6.734641638225256,100.0,0.0,17.83405031386147,72.78765083333334,460.08,0.436,85.07580604653498,40.005833333333335,90.0,10.0,16.42444117351051,9169.9482421875,26100.0,0.0,4993.7517434304655
6,2024-07-29 22:37:00,2024-07-29 22:38:00,11,meta-llama/Meta-Llama-3-8B,1,shifted,48,14,21.22525597269625,100.0,0.0,37.589341708743405,6.734641638225256,100.0,0.0,17.83405031386147,72.64000458333334,460.08,0.436,85.32745942564685,39.97666666666667,90.0,10.0,16.393411243361452,9173.20738451529,26400.0,0.0,4990.482968486906
7,2024-07-29 22:38:00,2024-07-29 22:38:00,10,meta-llama/Meta-Llama-3-8B,1,shifted,126,43,21.40478223740393,100.0,0.0,37.66451245507075,6.17320819112628,100.0,0.0,17.126041983975536,72.49235833333333,458.199,0.44,85.61358903525681,39.9475,88.0,10.0,16.36911829568558,9176.462288686605,26400.0,0.0,4988.026107357808
8,2024-07-29 22:38:00,2024-07-29 22:38:00,7,meta-llama/Meta-Llama-3-70B,1,shifted,48,14,21.48037542662116,100.0,0.0,37.62587809614872,6.176621160409557,100.0,0.0,17.12840040030288,72.49235833333333,458.199,0.44,85.61358903525681,39.9475,88.0,10.0,16.36911829568558,9176.462288686605,26400.0,0.0,4988.026107357808
9,2024-07-29 22:38:00,2024-07-29 22:38:00,8,meta-llama/Meta-Llama-3-70B,1,shifted,126,43,22.3660409556314,100.0,0.0,38.321819971592255,6.17320819112628,100.0,0.0,17.122251909436876,72.49235833333333,458.199,0.44,85.61358903525681,39.9475,88.0,10.0,16.36911829568558,9176.462288686605,26400.0,0.0,4988.026107357808
10,2024-07-29 22:38:00,2024-07-29 22:38:00,6,meta-llama/Meta-Llama-3.1-8B,1,shifted,48,14,22.58788395904437,100.0,0.0,38.4249903999341,6.297781569965871,100.0,0.0,17.31663910666673,72.49235833333333,458.199,0.44,85.61358903525681,39.9475,88.0,10.0,16.36911829568558,9176.462288686605,26400.0,0.0,4988.026107357808
11,2024-07-29 22:38:00,2024-07-29 22:38:00,7,meta-llama/Meta-Llama-3.1-8B,1,shifted,126,43,22.652433817250213,100.0,0.0,38.54451905523892,6.3779863481228665,100.0,0.0,17.457122097041097,72.49235833333333,458.199,0.44,85.61358903525681,39.9475,88.0,10.0,16.36911829568558,9176.462288686605,26400.0,0.0,4988.026107357808
12,2024-07-29 22:38:00,2024-07-29 22:38:00,8,meta-llama/Meta-Llama-3.1-70B,1,shifted,48,14,22.592150170648463,100.0,0.0,38.53855686598863,6.3779863481228665,100.0,0.0,17.457122097041097,72.49235833333333,458.199,0.44,85.61358903525681,39.9475,88.0,10.0,16.36911829568558,9176.462288686605,26400.0,0.0,4988.026107357808
13,2024-07-29 22:38:00,2024-07-29 22:39:00,6,meta-llama/Meta-Llama-3.1-70B,1,shifted,126,43,22.245733788395903,100.0,0.0,38.03146286891376,6.419795221843003,100.0,0.0,17.637043268677147,73.23971988328469,482.225,0.44,86.98636386152587,39.9325,88.0,10.0,16.375454453090065,9171.2001965924,26400.0,0.0,5009.1482150790025
14,2024-07-29 22:39:00,2024-07-29 22:39:00,7,meta-llama/Meta-Llama-3.1-405B,1,shifted,48,14,22.01877133105802,100.0,0.0,38.01504923618152,6.325938566552901,100.0,0.0,16.98543836759441,73.98770475396164,482.225,0.486,88.36833577752678,39.9175,87.0,10.0,16.38859915414359,9165.854689564068,25800.0,0.0,5031.332647532855
15,2024-07-29 22:39:00,2024-07-29 22:39:00,4,meta-llama/Meta-Llama-3.1-405B,1,shifted,126,43,22.292662116040955,100.0,0.0,38.14423407829116,6.309726962457338,100.0,0.0,16.980386764794407,73.98770475396164,482.225,0.486,88.36833577752678,39.9175,87.0,10.0,16.38859915414359,9165.854689564068,25800.0,0.0,5031.332647532855
16,2024-07-29 22:39:00,2024-07-29 22:39:00,7,eci-io/climategpt-7b,2,shifted,48,14,22.27389078498293,100.0,0.0,38.19513788026675,6.309726962457338,100.0,0.0,16.980386764794407,73.98770475396164,482.225,0.486,88.36833577752678,39.9175,87.0,10.0,16.38859915414359,9165.854689564068,25800.0,0.0,5031.332647532855
17,2024-07-29 22:39:00,2024-07-29 22:39:00,8,eci-io/climategpt-7b,2,shifted,126,43,22.52474402730376,100.0,0.0,38.28082090116353,6.322525597269625,100.0,0.0,17.004999649704473,73.98770475396164,482.225,0.486,88.36833577752678,39.9175,87.0,10.0,16.38859915414359,9165.854689564068,25800.0,0.0,5031.332647532855
18,2024-07-29 22:39:00,2024-07-29 22:39:00,8,ECarbenia/grimoiresigils,2,shifted,48,14,22.2320819112628,100.0,0.0,38.2559012791698,6.322525597269625,100.0,0.0,17.004999649704473,73.98770475396164,482.225,0.486,88.36833577752678,39.9175,87.0,10.0,16.38859915414359,9165.854689564068,25800.0,0.0,5031.332647532855
19,2024-07-29 22:39:00,2024-07-29 22:39:00,6,ECarbenia/grimoiresigils,2,shifted,126,43,22.71672354948805,100.0,0.0,38.63406407697354,6.284982935153583,100.0,0.0,16.888310847921897,73.98770475396164,482.225,0.486,88.36833577752678,39.9175,87.0,10.0,16.38859915414359,9165.854689564068,25800.0,0.0,5031.332647532855
20,2024-07-29 22:39:00,2024-07-29 22:39:00,8,text-embedding-ada-002,2,shifted,48,14,22.706484641638227,100.0,0.0,38.7462461278258,6.3080204778157,100.0,0.0,16.875993303024078,73.98770475396164,482.225,0.486,88.36833577752678,39.9175,87.0,10.0,16.38859915414359,9165.854689564068,25800.0,0.0,5031.332647532855
21,2024-07-29 22:39:00,2024-07-29 22:39:00,7,text-embedding-ada-002,2,shifted,126,43,22.40955631399317,100.0,0.0,38.55597385010141,6.389078498293515,100.0,0.0,17.06952128690034,73.98770475396164,482.225,0.486,88.36833577752678,39.9175,87.0,10.0,16.38859915414359,9165.854689564068,25800.0,0.0,5031.332647532855
22,2024-07-29 22:39:00,2024-07-29 22:40:00,9,meta-llama/Meta-Llama-3-8B,2,shifted,48,14,22.71075085324232,100.0,0.0,38.73043920537442,6.389078498293515,100.0,0.0,17.06952128690034,74.1777140475198,482.225,0.429,87.88212212615788,39.93208333333333,89.0,10.0,16.421626992785352,9151.712762467192,26400.0,0.0,5012.2541452011865
23,2024-07-29 22:40:00,2024-07-29 22:40:00,7,meta-llama/Meta-Llama-3-8B,2,shifted,126,43,21.87116040955632,100.0,0.0,37.89224176097187,6.278156996587031,100.0,0.0,17.17810755026979,74.36756500000001,462.521,0.429,87.43004477932172,39.946666666666665,89.0,10.0,16.461408522085772,9137.75521512386,26400.0,0.0,4994.133864981193
24,2024-07-29 22:40:00,2024-07-29 22:40:00,7,meta-llama/Meta-Llama-3-70B,2,shifted,48,14,21.37627986348123,100.0,0.0,37.60479306737107,6.246587030716723,100.0,0.0,17.16160531936317,74.36756500000001,462.521,0.429,87.43004477932172,39.946666666666665,89.0,10.0,16.461408522085772,9137.75521512386,26400.0,0.0,4994.133864981193
