,path,time_scraped,canopy_moisture,dz,extent,extent_fmt,fire_grid,output,resolution,resolution_units,run_binary,stop,run_max_mem_rss_bytes,start,seed,sim_time,surface_moisture,threads,timestep,topo,wind_direction,wind_speed
10,burnpro3d/d/eb/3e/run_eb3e8431-f99d-4426-a95b-09615b517196,2023-12-26T00:30:38.559821,0.9,,"[-2022346.0, 1581420.0, -2020914.0, 1580036.0]","[[x1, y1], [x2, y2]]",,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-23T16:54:10.112710-07:00,2426136,2023-06-23T14:18:25.822638-07:00,-1,13493,0.1,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",60.0,6.705
11,burnpro3d/d/5c/b3/run_5cb3a28e-b88f-49c7-bdc3-e0adc3e2e9d1,2023-12-26T00:30:38.559821,0.9,,"[-2022346.0, 1581420.0, -2020914.0, 1580036.0]","[[x1, y1], [x2, y2]]",,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-23T17:34:39.429069-07:00,2426096,2023-06-23T14:18:24.676457-07:00,-1,13493,0.15,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",60.0,4.47
12,burnpro3d/d/e3/df/run_e3df242b-4857-4443-bc06-22edd7cac36b,2023-12-26T00:30:38.559821,0.9,,"[-2022346.0, 1581420.0, -2020914.0, 1580036.0]","[[x1, y1], [x2, y2]]",,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-23T17:04:33.735596-07:00,2428308,2023-06-23T14:18:15.013206-07:00,-1,13493,0.1,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",90.0,4.47
13,burnpro3d/d/89/52/run_8952a99f-c753-46a3-b473-b79186b93612,2023-12-26T00:30:38.559821,0.9,,"[-2022346.0, 1581420.0, -2020914.0, 1580036.0]","[[x1, y1], [x2, y2]]",,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-23T17:20:07.362543-07:00,2428112,2023-06-23T14:18:29.678323-07:00,-1,13493,0.15,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",120.0,2.235
14,burnpro3d/d/c6/16/run_c6166524-b1eb-4964-9edd-aefb100e460d,2023-12-26T00:30:38.559821,0.9,,"[-2022346.0, 1581420.0, -2020914.0, 1580036.0]","[[x1, y1], [x2, y2]]",,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-23T17:06:28.515752-07:00,2426096,2023-06-23T14:18:32.185038-07:00,-1,13493,0.2,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",60.0,6.705
15,burnpro3d/d/e1/2e/run_e12ec371-4b7d-477d-bf44-82dba4f9ff07,2023-12-26T00:30:38.559821,0.9,,"[-2022346.0, 1581420.0, -2020914.0, 1580036.0]","[[x1, y1], [x2, y2]]",,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-23T17:30:23.347776-07:00,2428092,2023-06-23T14:18:12.669733-07:00,-1,13493,0.2,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",90.0,2.235
16,burnpro3d/d/91/f0/run_91f00434-51f3-4b59-ae9e-243f93491c5b,2023-12-26T00:30:38.559821,0.9,,"[-2022346.0, 1581420.0, -2020914.0, 1580036.0]","[[x1, y1], [x2, y2]]",,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-23T17:26:22.594541-07:00,2428192,2023-06-23T14:18:36.995921-07:00,-1,13493,0.15,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",60.0,6.705
17,burnpro3d/d/df/e6/run_dfe63cc9-0ca9-443b-8c8f-48ffc9106bec,2023-12-26T00:30:38.559821,0.9,,"[-2022346.0, 1581420.0, -2020914.0, 1580036.0]","[[x1, y1], [x2, y2]]",,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-23T17:13:41.493067-07:00,2428048,2023-06-23T14:18:18.534964-07:00,-1,13493,0.2,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",90.0,4.47
18,burnpro3d/d/d3/15/run_d315665a-3196-401b-a59c-0492e7922b53,2023-12-26T00:30:38.559821,0.9,,"[-2022346.0, 1581420.0, -2020914.0, 1580036.0]","[[x1, y1], [x2, y2]]",,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-23T18:40:07.797820-07:00,2428140,2023-06-23T14:18:24.652273-07:00,-1,13493,0.2,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",60.0,2.235
19,burnpro3d/d/03/c9/run_03c9e618-341e-447b-be36-63d08402493e,2023-12-26T00:30:38.559821,0.9,,"[-2022346.0, 1581420.0, -2020914.0, 1580036.0]","[[x1, y1], [x2, y2]]",,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-23T17:19:10.728883-07:00,2428228,2023-06-23T14:18:23.649738-07:00,-1,13493,0.1,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",60.0,4.47
20,burnpro3d/d/7c/67/run_7c67acc1-8761-4285-9a82-fc43771b33e6,2023-12-26T00:30:38.559821,0.9,,"[-2022346.0, 1581420.0, -2020914.0, 1580036.0]","[[x1, y1], [x2, y2]]",,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-23T17:44:34.952711-07:00,2428236,2023-06-23T14:18:22.122815-07:00,-1,13493,0.1,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",60.0,2.235
21,burnpro3d/d/ac/2d/run_ac2d2462-2647-4bff-86fd-f15371d5c56d,2023-12-26T00:30:38.559821,0.9,,"[-2022346.0, 1581420.0, -2020914.0, 1580036.0]","[[x1, y1], [x2, y2]]",,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-23T18:16:43.387927-07:00,2425988,2023-06-23T14:18:39.439957-07:00,-1,13493,0.2,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",120.0,4.47
22,burnpro3d/d/41/83/run_418381c6-b51d-4364-b5a1-d8576694b64c,2023-12-26T00:30:38.559821,0.9,,"[-2022346.0, 1581420.0, -2020914.0, 1580036.0]","[[x1, y1], [x2, y2]]",,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-23T18:26:46.368728-07:00,2426516,2023-06-23T14:18:24.442818-07:00,-1,13493,0.2,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",60.0,4.47
23,burnpro3d/d/71/91/run_71914399-2a59-4a84-bedc-d7ee1f40d3a0,2023-12-26T00:30:38.559821,0.9,,"[-2022346.0, 1581420.0, -2020914.0, 1580036.0]","[[x1, y1], [x2, y2]]",,"{'emissions': False, 'energy_atmos': False, 'fire_energy': False, 'fuels_dens': True, 'fuels_moist': False, 'plume_locs': False, 'plume_traj': False, 'qu_avg_wind': False, 'qu_wind': False, 'reaction_rate': False, 'steps_fire': 600, 'steps_wind': 100, 'thermal_rad': False, 'vert_mass_burnt': False, 'wind': False}","[2.0, 2.0, 1.0]",meters,/quicfire/quicfire-v5.2-ucsd-rel,2023-06-23T17:45:45.051877-07:00,2426164,2023-06-23T14:18:29.753017-07:00,-1,13493,0.1,1,600,"{'topo_calcs': False, 'total_startup_iters': 500}",120.0,2.235
