,path,start,stop,sim_time,timestep,wind_direction,wind_speed,canopy_moisture,surface_moisture,run_max_mem_rss_bytes,threads,area,runtime,cpu_total,mem_total,ensemble_uuid,run_uuid
16,burnpro3d/d/91/f0/run_91f00434-51f3-4b59-ae9e-243f93491c5b,2023-06-23T14:18:36.995921-07:00,2023-06-23T17:26:22.594541-07:00,13493,600,60.0,6.705,0.9,0.15,2428192,1,1981888.0,11266.0,0.0,0.0,ea5b0a15-a0a4-43d0-9acc-916530618322,91f00434-51f3-4b59-ae9e-243f93491c5b
17,burnpro3d/d/df/e6/run_dfe63cc9-0ca9-443b-8c8f-48ffc9106bec,2023-06-23T14:18:18.534964-07:00,2023-06-23T17:13:41.493067-07:00,13493,600,90.0,4.47,0.9,0.2,2428048,1,1981888.0,10523.0,0.0,0.0,ea5b0a15-a0a4-43d0-9acc-916530618322,dfe63cc9-0ca9-443b-8c8f-48ffc9106bec
18,burnpro3d/d/d3/15/run_d315665a-3196-401b-a59c-0492e7922b53,2023-06-23T14:18:24.652273-07:00,2023-06-23T18:40:07.797820-07:00,13493,600,60.0,2.235,0.9,0.2,2428140,1,1981888.0,15703.0,0.0,0.0,ea5b0a15-a0a4-43d0-9acc-916530618322,d315665a-3196-401b-a59c-0492e7922b53
19,burnpro3d/d/03/c9/run_03c9e618-341e-447b-be36-63d08402493e,2023-06-23T14:18:23.649738-07:00,2023-06-23T17:19:10.728883-07:00,13493,600,60.0,4.47,0.9,0.1,2428228,1,1981888.0,10847.0,0.0,0.0,ea5b0a15-a0a4-43d0-9acc-916530618322,03c9e618-341e-447b-be36-63d08402493e
20,burnpro3d/d/7c/67/run_7c67acc1-8761-4285-9a82-fc43771b33e6,2023-06-23T14:18:22.122815-07:00,2023-06-23T17:44:34.952711-07:00,13493,600,60.0,2.235,0.9,0.1,2428236,1,1981888.0,12372.0,0.0,0.0,ea5b0a15-a0a4-43d0-9acc-916530618322,7c67acc1-8761-4285-9a82-fc43771b33e6
21,burnpro3d/d/ac/2d/run_ac2d2462-2647-4bff-86fd-f15371d5c56d,2023-06-23T14:18:39.439957-07:00,2023-06-23T18:16:43.387927-07:00,13493,600,120.0,4.47,0.9,0.2,2425988,1,1981888.0,14284.0,0.0,0.0,ea5b0a15-a0a4-43d0-9acc-916530618322,ac2d2462-2647-4bff-86fd-f15371d5c56d
22,burnpro3d/d/41/83/run_418381c6-b51d-4364-b5a1-d8576694b64c,2023-06-23T14:18:24.442818-07:00,2023-06-23T18:26:46.368728-07:00,13493,600,60.0,4.47,0.9,0.2,2426516,1,1981888.0,14902.0,0.0,0.0,ea5b0a15-a0a4-43d0-9acc-916530618322,418381c6-b51d-4364-b5a1-d8576694b64c
23,burnpro3d/d/71/91/run_71914399-2a59-4a84-bedc-d7ee1f40d3a0,2023-06-23T14:18:29.753017-07:00,2023-06-23T17:45:45.051877-07:00,13493,600,120.0,2.235,0.9,0.1,2426164,1,1981888.0,12436.0,0.0,0.0,ea5b0a15-a0a4-43d0-9acc-916530618322,71914399-2a59-4a84-bedc-d7ee1f40d3a0
24,burnpro3d/d/b9/cb/run_b9cb772b-4517-4dd6-84d2-eeaf6980746a,2023-06-23T14:18:10.230421-07:00,2023-06-23T17:56:50.525972-07:00,13493,600,90.0,2.235,0.9,0.1,2428212,1,1981888.0,13120.0,0.0,0.0,ea5b0a15-a0a4-43d0-9acc-916530618322,b9cb772b-4517-4dd6-84d2-eeaf6980746a
25,burnpro3d/d/ae/24/run_ae248365-41eb-46c8-aeee-ef40d048a0f7,2023-06-23T14:18:11.343741-07:00,2023-06-23T18:00:05.260184-07:00,13493,600,90.0,2.235,0.9,0.15,2428300,1,1981888.0,13314.0,0.0,0.0,ea5b0a15-a0a4-43d0-9acc-916530618322,ae248365-41eb-46c8-aeee-ef40d048a0f7
26,burnpro3d/d/ed/d0/run_edd0b75e-296f-405f-8963-793dc7600c99,2023-06-23T14:18:51.750916-07:00,2023-06-23T18:01:11.034214-07:00,13493,600,120.0,6.705,0.9,0.15,2426048,1,1981888.0,13340.0,0.0,0.0,ea5b0a15-a0a4-43d0-9acc-916530618322,edd0b75e-296f-405f-8963-793dc7600c99
27,burnpro3d/d/f4/ab/run_f4ab3b66-0692-480f-b7fd-2244fe412623,2023-06-23T14:18:31.842695-07:00,2023-06-23T18:01:49.305974-07:00,13493,600,120.0,2.235,0.9,0.2,2428132,1,1981888.0,13398.0,0.0,0.0,ea5b0a15-a0a4-43d0-9acc-916530618322,f4ab3b66-0692-480f-b7fd-2244fe412623
