,canopy_moisture,run_max_mem_rss_bytes,sim_time,surface_moisture,threads,wind_direction,wind_speed,run_uuid,area,runtime,cpu_usage_total,mem_usage_total,transmitted_packets_total,received_packets_total,transmitted_bandwidth_total,received_bandwidth_total,queue_seconds
23,0.5,2559504,16486,0.1,1,90.0,5.0,8a1fe09e-bda0-4a6c-b845-0802f1339b58,1053216.0,11515.0,21539.182683244384,5465346047.0,24228.45716524374,37868.25268989378,31447856.35646377,158055942.07912824,360.0
24,0.5,2577388,16486,0.3,1,90.0,3.0,147c3031-ffa5-4852-b30b-94755b5ae6f4,1053216.0,8263.0,16511.867587796864,5556858879.0,23433.59141167884,45834.27074574209,2474324.7603238444,317959937.9041713,50.0
25,0.5,2577464,16486,0.3,1,90.0,5.0,e7c6168a-ec73-4f53-8e31-7b0996f76436,1053216.0,9752.0,18046.824839076624,5557321727.0,20250.04991374096,20682.527953618093,30979191.50351641,4557949.924975458,77.0
26,0.3,2578804,16486,0.1,1,90.0,5.0,709b1e0d-69d5-489a-8908-8c1b5fa090ba,1053216.0,11158.0,22340.23301059071,5555834879.0,12303.878553261846,9722.40044757422,1531617.5297110218,3600279.7471603137,41.0
27,0.3,2578336,16486,0.1,1,90.0,3.0,2f8da8eb-5f7d-4fc8-8b8a-5bd0f69e50f8,1053216.0,11719.0,22906.172265779227,5556326399.0,29311.97664736697,51878.73509511993,2898952.050288117,237528926.32175767,18.0
28,0.3,2519468,16486,0.3,1,90.0,5.0,b7d6aa6c-3156-44ce-b0ec-69347ceb491f,1053216.0,10129.0,20278.2388651292,5469949951.0,31879.436581575043,64734.33038457589,3131123.2635809705,313200110.43629885,42.0
29,0.3,2519456,16486,0.3,1,90.0,3.0,9b01ad63-d817-47b6-8b9c-9584eac87bef,1053216.0,10219.0,20373.39924438055,5469949951.0,31964.733293511235,64829.31687563323,3141408.044742935,313418396.0617801,42.0
30,0.5,2578056,16486,0.1,1,90.0,3.0,38f0205a-d7b1-4f06-9438-44e3b58a21a1,1053216.0,9681.0,19377.61199613492,5556715519.0,19814.993767598346,47302.11022774328,2313214.81860559,323672927.5258781,7.0
31,0.5,2578532,16486,0.1,1,90.0,5.0,a50e20e2-a938-4333-9a15-0c6787ee7b9a,1053216.0,11370.0,21082.5382254871,5557669887.0,20702.8182033318,48021.78207216472,2423488.874026444,324083324.7040642,7.0
32,0.5,2557608,16486,0.3,1,90.0,5.0,be9cea75-2240-4339-a2b2-522f04192d3a,1053216.0,8426.0,16866.506263460124,5461823487.0,27007.86859,48479.26078095238,2796966.826802857,311343382.6289283,34.0
33,0.5,2557748,16486,0.3,1,90.0,3.0,d9522529-86f0-49b3-be42-85e4e1ead7f7,1053216.0,10180.0,18634.664280766727,5462429695.0,29345.51874387407,50941.33265931827,24850668.29757023,311498168.7440088,31.0
34,0.3,2560108,16486,0.1,1,90.0,5.0,9ff6c68c-6c1b-400d-a50c-8c2753b6b1ca,1053216.0,9084.0,18161.79644203408,5464965119.0,34829.59086268729,82708.99902092364,3437548.123429628,438027472.0897076,58.0
35,0.3,2560208,16486,0.1,1,90.0,3.0,616aabbf-6940-4adc-9b40-fc96b8876064,1053216.0,11553.0,20662.90247278853,5465493503.0,36167.38484951807,83718.26667179869,3971177.373690147,437992211.3571417,56.0
36,0.3,2544084,16486,0.3,1,90.0,5.0,619f51cb-afc3-4a0a-b9e4-48af1d7ccff5,1053216.0,7027.0,21092.5420052846,8204234751.0,19931.169226707258,36743.60894236089,2181481.799384866,158206365.33348352,20.0
37,0.3,2543896,16486,0.3,1,90.0,3.0,2e5b95fa-bad0-44e6-801e-51689dfeb791,1053216.0,8516.0,22598.786836492804,8204791807.0,21043.95377341335,37722.931723949805,2317058.3525913805,158751218.84330785,20.0
38,0.5,2541168,16486,0.1,1,90.0,3.0,d9844e65-64fc-40e6-8acc-7c0cc667761e,1053216.0,11578.0,22579.5497696716,5476544511.0,22710.849853543263,39426.78305309732,2445884.137421283,169659158.91248524,45.0
39,0.5,2541364,16486,0.1,1,90.0,5.0,445e08e0-7faf-4d37-83c0-9544a09c157d,1053216.0,10977.0,21964.625484089207,5476544511.0,22385.48226995434,39167.6681709589,2405446.629729864,169554052.4919747,45.0
40,0.5,2558320,16486,0.3,1,90.0,5.0,0c28e5c2-0ee9-4a69-9bf4-8c1583a15390,1053216.0,8601.0,16920.513946115818,5461078015.0,19547.45617058848,48169.99867672514,2307156.308886467,311208998.1560218,11.0
41,0.5,2558604,16486,0.3,1,90.0,3.0,d2ed7870-1efc-405e-bb3d-40a8f42a5cd4,1053216.0,10122.0,18498.52746642787,5460082687.0,16922.45065805954,36369.92340396362,2009209.261046016,157696993.702332,299.0
42,0.3,2563212,16486,0.1,1,90.0,5.0,34b3e3e3-45ee-4278-b7ab-41a823e752a2,1053216.0,9947.0,19684.6957638626,5479952383.0,21464.98136163917,36930.4588477109,67854340.8345603,311583320.146209,33.0
43,0.3,2563036,16486,0.1,1,90.0,3.0,0315f453-124b-4e2d-88c9-21bd37d7f3ae,1053216.0,9726.0,19449.68274638072,5479895039.0,18994.888683281733,33636.33407265222,2318263.5391839007,311462140.33966017,33.0
44,0.3,2576368,16486,0.3,1,90.0,5.0,a34e9f50-71ad-460f-abf3-52def92a59ec,1053216.0,10061.0,20142.11550370424,5549875199.0,20764.622854291418,34825.9246506986,2205212.55758483,151728453.94411176,53.0
45,0.3,2576460,16486,0.3,1,90.0,3.0,f22c4b7e-8ae1-42e7-bf6b-1de75b3a0f4f,1053216.0,10087.0,20164.94950213192,5549875199.0,20783.241796544226,34839.39525471445,2207587.176666321,151720823.52198607,53.0
46,0.5,2527424,16486,0.1,1,90.0,3.0,335636e3-8e56-498b-af53-19f306f9022e,1053216.0,12001.0,23604.17811091253,5487910911.0,44375.05028558225,108752.5879657933,4195918.879642366,564420456.0345606,17.0
47,0.5,2527820,16486,0.1,1,90.0,5.0,80981b15-0ace-4fd3-8f80-844b6f8a216d,1053216.0,11557.0,23141.77791454159,5487783935.0,44138.36199427309,108585.38469651334,4164716.23885046,564114615.8392118,17.0
48,0.5,2580300,16486,0.3,1,90.0,3.0,a37805d0-89cb-478e-b6b5-91abaa42136e,1053216.0,10969.0,20872.319573185057,5565337599.0,15463.587418587817,18629.683511868527,1922360.594185748,163194262.11382362,188.0
49,0.5,2580500,16486,0.3,1,90.0,5.0,b20245d8-55dd-442f-a866-396152c021af,1053216.0,9993.0,19868.6953647114,5565657087.0,22869.76777068273,46776.39873995984,2561348.596130824,324459340.7883195,40.0
50,0.3,2518872,16486,0.1,1,90.0,5.0,054ba756-c74e-4469-95c1-b8106e639781,1053216.0,9605.0,19219.55911039044,5473259519.0,16133.848787565308,21564.81589299895,1898960.309644096,157110411.0843348,67.0
51,0.3,2518640,16486,0.1,1,90.0,3.0,588b7c80-b008-4dd0-b3c8-5522fbf3a143,1053216.0,11760.0,21400.14401599863,5474557951.0,30039.74691096547,50220.79134430946,2043084.883383952,157271686.79740646,64.0
52,0.3,2576704,16486,0.3,1,90.0,5.0,a4f4d052-03f1-49a8-b8ff-2355a216cc3b,1053216.0,7911.0,15818.25385260478,5567750143.0,26405.80833744521,48509.23823179404,2898063.0748860766,402690509.1864048,30.0
53,0.3,2576464,16486,0.3,1,90.0,3.0,2caf5997-f9a0-4950-baca-3f05ec1f1648,1053216.0,8176.0,16113.22176672602,5567856639.0,26641.907939700293,48692.0739557146,2926970.837957504,402673635.7167122,31.0
54,0.5,2578108,16486,0.1,1,90.0,3.0,c8a575d8-1f1d-45ba-afaa-e4a3c6271da4,1053216.0,11531.0,21493.00997708049,5557993471.0,39027.66007443024,92984.14543101324,3832069.2257026928,545848693.2310786,52.0
55,0.5,2578544,16486,0.1,1,90.0,5.0,09c2606c-8cdd-4463-ab11-dae2425b1af7,1053216.0,9936.0,19890.44077108104,5557858303.0,38145.85742050505,92337.98718383838,3721239.795377172,545940682.2862858,52.0
56,0.5,2539732,16486,0.3,1,90.0,5.0,89fdeade-464f-4c69-85dc-cb885177b1ae,1053216.0,8126.0,16251.206057861338,5486600191.0,20424.35308641976,39349.9074074074,2126770.832345679,217530386.57728392,21.0
57,0.5,2539784,16486,0.3,1,90.0,3.0,5a5ed9b5-7267-44a8-b278-a6231c3931c3,1053216.0,9728.0,17887.989476157214,5487169535.0,23569.59684720514,43048.188710424736,65146455.4141489,217878921.08231592,38.0
58,0.3,2574144,16486,0.1,1,90.0,5.0,941393d4-bae5-4350-bae2-f646c9a609df,1053216.0,9132.0,18277.32932731289,5562765311.0,14332.92475247525,20790.625082508253,1687660.9141914193,111832155.74851486,46.0
59,0.3,2577384,16486,0.1,1,90.0,3.0,d93f4863-cd4d-4486-b521-ad1a09a252c3,1053216.0,11712.0,20876.156282447417,5564162047.0,35429.799401923075,88563.27535877304,44715153.688733,477664881.4801232,43.0
60,0.3,2534040,16486,0.3,1,90.0,5.0,44c274d0-d9d0-4ed8-bebf-d2b477f9cf88,1053216.0,10230.0,20487.47689785033,5499797503.0,16525.464705882354,20963.479411764707,1881315.0558823529,64442981.35294117,7.0
61,0.3,2534016,16486,0.3,1,90.0,3.0,33f6614a-023e-400a-b921-2e91c8035774,1053216.0,10300.0,20568.848978788134,5499805695.0,16588.72067983947,21022.92321239422,1889025.393537349,64529670.58855824,7.0
62,0.5,2539552,16486,0.1,1,90.0,3.0,ded06c17-a9ba-4e98-9581-539ebe66213e,1053216.0,9919.0,19854.618759772697,5480099839.0,16985.657975016118,21980.90480780572,1996761.753752323,162872268.0175943,35.0
63,0.5,2540036,16486,0.1,1,90.0,5.0,0fdc70d4-c133-471d-8a93-034486e59930,1053216.0,10872.0,20812.907012041625,5480984575.0,30391.24159841821,52417.31450238827,62950880.22344303,323822447.6477101,32.0
64,0.5,2572060,16486,0.3,1,90.0,5.0,b03cfa7f-cde2-4b06-9a52-822d67ffbf2d,1053216.0,9840.0,19690.426772282044,5541924863.0,26174.40957543323,36403.49324770643,2640836.596927931,163812923.37953058,57.0
65,0.5,2571932,16486,0.3,1,90.0,3.0,2c2ac8a9-b228-4301-8edf-59d328a3ed14,1053216.0,9954.0,19806.33070760513,5541924863.0,26259.87582980989,36459.31424632273,2651603.109014838,163733397.45346946,57.0
66,0.3,2515720,16486,0.1,1,90.0,5.0,04a1f959-cfa8-4eee-a8b9-fb53fdaa2a8a,1053216.0,9414.0,27144.764927677163,8184467455.0,74554.66948053247,94478.81758923868,6095761.426868163,314584373.1506727,18.0
67,0.3,2560088,16486,0.1,1,90.0,3.0,9f4400b9-d0f7-481d-93d6-5563fd3dfba5,1053216.0,9702.0,27440.573132316586,8184467455.0,74734.78476993249,94610.45945132042,6120089.822411763,314550285.38711745,24.0
68,0.3,2534648,16486,0.3,1,90.0,3.0,0375bb76-2416-4aa1-8d5a-6159063ef4e6,1053216.0,10258.0,18751.45468372658,5509042175.0,39442.078645103466,112691.52314486528,67133835.07754782,568436305.0804057,43.0
69,0.3,2534532,16486,0.3,1,90.0,5.0,1d193bb3-eaff-4e1a-9f1a-8670f4ad1c1f,1053216.0,8487.0,16961.59188076586,5508689919.0,36093.70319148936,37257.16062694026,2303136.349507837,567909538.9503518,45.0
70,0.5,2533528,16486,0.1,1,90.0,5.0,d3982506-cb9a-4e37-ba94-a8b6c5fdf760,1053216.0,11547.0,23103.6680368385,5497724927.0,12488.20365958338,9842.981750937524,1550367.6665973873,3640608.8829451017,7.0
71,0.5,2532824,16486,0.1,1,90.0,3.0,55d55efb-fa7f-40fb-ae55-50fbb35ff159,1053216.0,11898.0,23473.978536171475,5497884671.0,12693.22825083509,10008.622192118277,1576549.7356415172,3700299.530941156,6.0
72,0.5,2559888,16486,0.3,1,90.0,5.0,5606ffb0-a7e3-47fe-ace4-902115e3e78c,1053216.0,7991.0,15076.523172576311,5486338047.0,59371.62742138365,74602.77496855345,4915251.038113208,313740483.8116555,32.0
73,0.5,2514748,16486,0.3,1,90.0,3.0,b3a1d0ea-eb5d-424a-ae20-8967437f7a67,1053216.0,8741.0,15850.310451764575,5486338047.0,61051.043146452335,76337.08692300512,34838311.806289405,313585484.27595496,37.0
74,0.3,2578436,16486,0.1,1,90.0,5.0,89d6bd9f-2390-40f9-b5f4-6a449a6b0945,1053216.0,9255.0,17674.693199037836,5563871231.0,54334.19055374592,71785.04071661238,4518308.087947883,325668444.7096108,57.0
75,0.3,2578432,16486,0.1,1,90.0,3.0,cba06b33-1779-4b4f-80ef-ddd28438f7af,1053216.0,12975.0,21421.945347073488,5565460479.0,58543.14669009979,76189.1094156286,53331168.20169471,326219898.0495726,55.0
76,0.3,2557244,16486,0.3,1,90.0,5.0,be55f711-6ede-4d24-bfde-bc01872b69d1,1053216.0,8284.0,16586.875225797197,5495128063.0,12675.026181818184,12259.320000000002,1533312.173333333,94231106.49333334,20.0
77,0.3,2557272,16486,0.3,1,90.0,3.0,ff3cff2f-9d9c-4a2d-83a6-d66951facaad,1053216.0,10893.0,19217.06883521069,5495476223.0,14046.986641996957,13312.16693944004,1708885.4088694917,94552071.59194158,17.0
78,0.5,2549920,16486,0.1,1,90.0,5.0,c55cd9cd-c4d6-4e2b-9bd4-1473513740c2,1053216.0,9806.0,17190.211276607144,5504802815.0,110680.46503067484,125048.56114519428,8417680.960940696,327924714.7576574,57.0
79,0.5,2549676,16486,0.1,1,90.0,3.0,650ec341-5452-4045-91a7-27cd50a893c5,1053216.0,11025.0,18432.325791520016,5505466367.0,113713.70510384184,128678.07506922512,64213839.11233519,328914711.7760825,56.0
80,0.5,2546720,16486,0.3,1,90.0,3.0,825420b0-e887-4b73-b9ee-2c3d42d4e3e2,1053216.0,9681.0,17760.871922206043,5491769343.0,69917.70959420288,84785.21829834368,5753055.484707971,325580054.4389569,70.0
81,0.5,2528580,16486,0.3,1,90.0,5.0,0aedfc4e-21a9-44d3-84ba-b0be1f9206d9,1053216.0,10272.0,18370.14844676721,5491769343.0,71422.64791044369,86440.07586591976,23256564.792181984,326177758.41297954,67.0
82,0.3,2576660,16486,0.1,1,90.0,5.0,3616af00-764b-4ce0-a957-71fa09113771,1053216.0,9379.0,18617.17903406696,5548793855.0,20124.60768942308,34771.52388514957,2326916.7257350427,322406909.69782805,30.0
83,0.3,2576256,16486,0.1,1,90.0,3.0,a03ef695-dd94-4c73-ac5c-3672b6942097,1053216.0,9324.0,18612.01195436496,5548793855.0,17448.658183526466,25128.512205679093,67445376.63470243,163801368.40790683,159.0
84,0.3,2512812,16486,0.3,1,90.0,3.0,1081a03b-a565-4ef5-a1dc-64e342d0d9d1,1053216.0,8511.0,17011.456847542868,5466787840.0,21070.264184397165,34781.062225897804,2283463.0769503545,310371782.5381826,53.0
85,0.3,2512808,16486,0.3,1,90.0,5.0,7f3c9f2c-9f1c-4472-87a1-5b8e245f4062,1053216.0,8526.0,17061.722975716435,5467140096.0,21078.003533568903,34799.942756183744,2285054.3689045934,310375274.92508835,54.0
86,0.5,2575548,16486,0.1,1,90.0,5.0,7f70f394-a684-411d-8a01-08ef67de407e,1053216.0,8171.0,24521.62790041245,8303022080.0,27154.559813725493,50118.90200686274,2818667.3448088234,323066112.1002079,15.0
87,0.5,2575080,16486,0.1,1,90.0,3.0,cd7aef88-5198-4109-b3ae-a11760211126,1053216.0,9683.0,26064.36019207361,8302698495.0,26206.96839227903,47014.78581027427,2689627.333031351,280344369.37497973,18.0
88,0.5,2512840,16486,0.3,1,90.0,5.0,db038f50-9457-4752-bb7d-bcc08271ab49,1053216.0,7493.0,22482.16844071149,8155725824.0,24248.02878232932,48811.711156358775,2568841.929354083,311328642.06882536,40.0
89,0.5,2512668,16486,0.3,1,90.0,3.0,27583346-8975-440a-b852-2e3e106e84a6,1053216.0,8602.0,23612.69897750136,8156999680.0,24994.38897099165,49402.95497031295,2662762.788638425,311627960.0762122,43.0
90,0.3,4365472,8362,0.1,1,90.0,5.0,64ac6f37-6223-45ea-a1de-5131b85856b5,828144.0,4417.0,8736.747409093256,9306275840.0,62806.1095890411,120017.01290958904,4998772.347716896,635646792.1890602,141.0
91,0.3,4365796,8362,0.1,1,90.0,3.0,5617ce58-29d8-47ae-8be6-55a988909044,828144.0,4585.0,8926.663739870968,9306406912.0,66168.075742532,125245.80448357042,77683661.99190968,635636422.6953733,142.0
92,0.3,4403596,8362,0.3,1,90.0,5.0,b674d59f-5795-496e-8302-08f1ba338ed8,828144.0,4354.0,7826.421723678553,9418203135.0,59573.20972222222,106454.3,4486579.30787037,475355371.9652778,124.0
93,0.3,4403916,8362,0.3,1,90.0,3.0,3f8935b0-5689-478e-958f-aa36f1093558,828144.0,5134.0,8650.061694088847,9419108351.0,63057.54135159818,110813.05518904109,78001788.7556895,476150736.1586036,123.0
94,0.5,4393584,8362,0.1,1,90.0,3.0,0f4ed493-dc52-4d74-8bcd-3e238750a7a1,828144.0,5602.0,11211.741266179592,9352171519.0,11895.166904969485,28825.35732442119,1321654.087036714,317521090.29741454,36.0
95,0.5,4393856,8362,0.1,1,90.0,5.0,1773a8f9-7740-4178-998b-49f1c0261b6a,828144.0,6250.0,11882.235197799428,9352499199.0,14446.635190665393,144428.2597331585,36274794.02106273,318431269.23588824,34.0
96,0.5,4408288,8362,0.3,1,90.0,3.0,597d24e5-e3c1-4785-928e-b82a7f3e541c,828144.0,6287.0,12362.558310164142,9379282943.0,31573.64737896562,146316.78072659826,3322309.374979695,798229203.3076975,62.0
97,0.5,4408256,8362,0.3,1,90.0,5.0,c689dc9b-61e5-4066-ac11-38e2d8648478,828144.0,6039.0,12080.53837632134,9379282943.0,31403.19483333333,146127.56644228855,3300987.6654545604,797781812.5996988,62.0
98,0.3,4370944,8362,0.1,1,90.0,5.0,a9543a34-a50f-4717-9b71-9271eb58e043,828144.0,4773.0,8840.192799638899,9315135487.0,89996.23101265823,157125.35443037975,6515644.460126583,634164907.8240507,27.0
99,0.3,4371116,8362,0.1,1,90.0,3.0,c795d211-39f6-4775-b37f-69e0628bd9a7,828144.0,4876.0,8968.776447450407,9315135487.0,93104.7400469901,161130.02389383048,79677896.21176998,636527238.8161974,25.0
100,0.3,4386308,8362,0.3,1,90.0,3.0,3246592c-24b6-4912-bcc6-0b4427c6f4f6,828144.0,6121.0,12241.46437044997,9334214655.0,10755.476518883415,24401.587684729064,1111942.473234811,299249479.55205256,43.0
101,0.3,4386424,8362,0.3,1,90.0,5.0,38c39d7c-5b47-40b0-861d-4c95b0bc904e,828144.0,7502.0,13619.520494038006,9334427647.0,11329.56130027697,24842.46955161072,1183567.6625823043,299179650.1198825,47.0
102,0.5,4392316,8362,0.1,1,90.0,5.0,1d3ba548-37df-4db3-9edc-4a5ba56a223e,828144.0,4547.0,8860.968720136709,9352806399.0,22668.214356,67620.82676355555,2196162.9276195555,599013222.2887667,69.0
103,0.5,4397432,8362,0.1,1,90.0,3.0,a98b2dae-2d95-41b7-9610-f7586c2516e1,828144.0,6535.0,10920.72156283055,9355370495.0,5681.689886659413,4933.222423360428,732217.080829574,1831007.6065682443,277.0
104,0.5,4401076,8362,0.3,1,90.0,3.0,a30f2efa-cc71-4524-a5b3-cf522bd37781,828144.0,5286.0,10208.886600303787,9359728639.0,15035.148420673637,39905.808059233445,1467255.009407375,460410496.18208367,27.0
105,0.5,4401176,8362,0.3,1,90.0,5.0,2b43329f-fe1c-40ed-849e-a17969e292df,828144.0,4928.0,9829.696280148875,9359417343.0,14812.225357873212,39775.71983640082,1438786.546830266,460980172.2929773,26.0
106,0.3,4374288,8362,0.1,1,90.0,3.0,d348bf84-8221-4cb7-a648-4f0307d6a7e2,828144.0,6184.0,8895.809593128713,9319821311.0,150192.2143222764,203939.9442398374,11305136.985066991,643450120.7503467,48.0
107,0.3,4374220,8362,0.1,1,90.0,5.0,4400657c-b92e-4911-b285-deb1e8aebc09,828144.0,6002.0,8696.910724458592,9319821311.0,150241.49187738693,204072.58524455613,11299553.064020269,644248146.9388301,50.0
108,0.3,4422852,8362,0.3,1,90.0,3.0,ef19f986-6fd4-4b1d-a60e-ba612706b8d3,828144.0,6397.0,12754.75957658612,9403490303.0,19286.85754521744,57986.66662694566,2722846.1306892904,1220237569.9537609,8.0
109,0.3,4422976,8362,0.3,1,90.0,5.0,1796d3cb-732e-4178-a018-dbb703d5a259,828144.0,6335.0,12675.5562784606,9403490303.0,19249.994444444445,57954.62777777778,2718026.1277777776,1220325574.483333,8.0
110,0.5,4411928,8362,0.1,1,90.0,3.0,61fcbfc0-4c8a-4a59-a991-1e64bdd69e8c,828144.0,6577.0,13050.270397191453,9379250175.0,8705.145032242992,17928.15241226671,1068360.4036539255,260782481.0537164,28.0
111,0.5,4413440,8362,0.1,1,90.0,5.0,556978c0-8603-40e7-8ecb-2e74c450c591,828144.0,6438.0,12888.086271702894,9379094527.0,8614.232863849766,17858.153051643196,1056450.61971831,261250073.43380284,29.0
112,0.5,4405892,8362,0.3,1,90.0,3.0,c0650352-898a-4f5e-83c6-daa7075a50ca,828144.0,6330.0,12430.391860827203,9366265855.0,15308.877417314648,38733.71120087856,1472986.7838258324,187500664.8299132,51.0
113,0.5,4402604,8362,0.3,1,90.0,5.0,762bde02-4856-450d-a118-3120fd52e57d,828144.0,6085.0,12182.98856696064,9366155263.0,15569.668136482094,40511.35410611523,1491208.454526665,195524371.0035796,48.0
114,0.3,4409068,8362,0.1,1,90.0,3.0,13aef667-e719-4e81-b610-dc7b8009957a,828144.0,5557.0,11120.232694162876,9385779199.0,20823.32779487662,70657.15314873483,2581603.08613114,982863220.3761004,10.0
115,0.3,4412296,8362,0.1,1,90.0,5.0,b0d07c33-c0bb-4872-adec-3a618fc4053f,828144.0,6200.0,11783.161073523232,9385910271.0,24287.20657166719,75491.63046768974,75684001.33907506,984048922.2582994,7.0
116,0.3,4392428,8362,0.3,1,90.0,3.0,948ea5b7-63ca-46ae-b7a1-0786e6348cbc,828144.0,5309.0,15899.103585240997,14003707903.0,14304.942894723092,29737.876145001737,1486694.4753793974,317605600.0342876,32.0
117,0.3,4392316,8362,0.3,1,90.0,5.0,67517121-56b9-4501-89f8-7e7a743af12d,828144.0,5564.0,16424.40180071589,14003720191.0,14747.44042857584,30203.98753889044,1878849.1490618903,318031328.70273805,33.0
