,runtime,sim_time,surface_moisture,timestep,wind_direction,wind_speed,canopy_moisture,run_max_mem_rss_bytes,area,steps_fire
277,2538,4225,0.1,600,90.0,15.0,0.3,2659364,820864.0,600
278,13912,6906,0.1,600,270.0,2.235,1.1,2565332,820080.0,600
279,9290,11382,0.12,600,180.0,4.47,0.9,2469044,1981888.0,600
280,10085,11359,0.1,600,180.0,3.129,1.0,2468504,1981888.0,600
281,11826,27251,0.2,600,120.0,6.705,0.9,3920352,648024.0,600
282,7632,14997,0.1,600,360.0,6.705,1.1,3919272,648024.0,600
283,9800,6906,0.2,600,270.0,4.47,0.9,2565348,820080.0,600
284,4615,4503,0.1,600,65.0,8.941,1.0,1935164,560976.0,600
285,2911,5945,0.2,600,90.0,2.235,1.0,1336904,646416.0,600
286,2990,4225,0.2,600,90.0,20.0,0.5,2659008,820864.0,600
287,1630,4225,0.1,600,120.0,15.0,0.5,2659492,820864.0,600
288,16227,10603,0.07,600,150.0,1.788,0.9,2469924,1981888.0,600
289,15664,4225,0.3,600,180.0,20.0,0.4,2658772,820864.0,600
290,1078,5295,0.07,600,230.0,5.364,1.2,646744,538244.0,600
291,26,10,0.1,10,60.0,2.235,0.9,2462260,646416.0,10
292,1895,9396,0.2,600,60.0,6.705,1.0,2456588,646416.0,600
293,1514,4225,0.3,600,120.0,5.0,0.4,2658932,820864.0,600
294,2677,4225,0.2,600,120.0,15.0,0.5,2659156,820864.0,600
295,19742,8543,0.07,600,225.0,6.705,0.9,4233468,648024.0,600
296,1123,4307,0.1,600,44.0,2.235,0.9,1727192,560976.0,600
297,1690,5945,0.25,600,120.0,6.705,1.0,1337140,646416.0,600
298,1982,5945,0.1,600,90.0,6.705,1.0,1337048,646416.0,600
299,7536,11359,0.07,600,210.0,4.023,1.0,2468732,1981888.0,600
300,2348,6748,0.03,600,90.0,3.576,0.9,1338968,646416.0,600
301,21302,6705,0.05,600,60.0,2.682,0.9,4247252,648024.0,600
