,canopy_moisture,run_max_mem_rss_bytes,sim_time,surface_moisture,threads,wind_direction,wind_speed,run_uuid,area,runtime,cpu_usage_total,mem_usage_total,transmitted_packets_total,received_packets_total,transmitted_bandwidth_total,received_bandwidth_total,queue_seconds
58,0.3,2540260.0,16486,0.3,1,90.0,5.0,42c191e6-5323-41ff-b069-1a8c3267e873,1053216.0,10994.0,14790.774693233852,6022344703.0,32464.216944951608,54241.85564584703,101134817.23624729,312222439.13281417,57.0
59,0.3,2540128.0,16486,0.3,1,90.0,3.0,79c41d6c-9f09-43a0-8d63-c01a2ac3f734,1053216.0,8394.0,9565.813960286245,6022344703.0,24055.855069811325,44743.55137756813,68441010.98324528,310618391.35234785,56.0
60,0.5,2559740.0,16486,0.1,1,90.0,3.0,eaa5fb6c-5d0b-423e-932e-b4c0ea731a0c,1053216.0,8830.0,15692.682076664509,8969777151.0,28972.9148827099,52294.95542461188,75159152.36211234,293173273.4906934,58.0
61,0.5,2559772.0,16486,0.1,1,90.0,5.0,e43b4a4e-128d-407d-993d-42079ce7b2a6,1053216.0,10169.0,19748.26409831025,8969777151.0,32492.41001885133,56435.32839786002,94476464.17360996,293463027.2275735,63.0
62,0.5,2514824.0,16486,0.3,1,90.0,3.0,147df320-497a-4683-aa23-a0eb7fb7a8f3,1053216.0,8463.0,14578.946199226217,9010692095.0,27985.756698964804,54763.13799089027,76028861.2670998,313064110.732923,61.0
63,0.5,2514764.0,16486,0.3,1,90.0,5.0,e0ab76f3-0835-445c-aff8-3e9934ce91b5,1053216.0,8778.0,15548.842129187577,9010692095.0,28845.307039341085,55744.26712751937,80478924.18402693,312516634.84526336,65.0
64,0.3,2514436.0,16486,0.1,1,90.0,3.0,02d776bf-0f85-4c36-8bac-c0f82e4872b0,1053216.0,9472.0,17608.01309970358,8974393344.0,20418.97263452992,34831.06918205128,81356210.83487864,279082863.60154426,62.0
65,0.3,2514620.0,16486,0.1,1,90.0,5.0,90daca68-bdff-4bf7-bf35-d23905cc12dd,1053216.0,9985.0,19167.82099688772,8974393344.0,21874.39093066038,36466.45913128931,88763982.54067138,279664398.8697918,68.0
66,0.3,2528016.0,16486,0.3,1,90.0,3.0,f61d3e4c-01a2-4d36-b7b2-f646c4a814d3,1053216.0,9650.0,18182.65642923079,9022332927.0,39921.67987860697,60160.16257164179,94554573.05849004,324457251.7615398,7.0
67,0.3,2528112.0,16486,0.3,1,90.0,5.0,9a790567-85ca-445d-a0a0-a45e86567599,1053216.0,7505.0,11708.019921443954,9022332927.0,34136.019833273705,53942.71689702842,64549627.9646696,323525299.08357215,6.0
68,0.5,2530716.0,16486,0.1,1,90.0,5.0,532193f2-b532-4bdb-b486-91432f605c57,1053216.0,9676.0,18251.05996512384,9009364991.0,29673.940982673263,58063.35838217822,82408389.62770262,325105761.0820716,26.0
